342,Pan American International High School
343,Bard High School Early College Queens
344,Newtown High School
345,Grover Cleveland High School
346,Middle College High School at LaGuardia Community College
347,International High School at LaGuardia Community College
348,High School for Arts and Business
349,"Robert F. Wagner, Jr. Secondary School for Arts and Technology"
350,Maspeth High School
351,Queens Vocational and Technical High School
352,Aviation Career & Technical Education High School
353,Veritas Academy
354,Queens High School for Language Studies
355,"Queens School of Inquiry, The"
356,Flushing International High School
357,East-West School of International Studies
358,World Journalism Preparatory: A College Board School
359,John Bowne High School
360,Flushing High School
361,Townsend Harris High School
362,Robert F. Kennedy Community High School
363,Business Technology Early College High School
364,Benjamin N. Cardozo High School
365,Francis Lewis High School
366,Martin Van Buren High School
367,Bayside High School
368,"Queens High School of Teaching, Liberal Arts and the Sciences"
369,Frederick Douglass Academy VI High School
370,Channel View School for Research
371,"Queens High School for Information, Research, and Technology"
372,Robert H. Goddard High School of Communication Arts and Technology
373,Academy of Medical Technology: A College Board School
374,Epic High School – South
375,Scholars' Academy
376,Rockaway Park High School for Environmental Sustainability
377,Epic High School – North
378,Rockaway Collegiate High School
379,August Martin High School
380,Richmond Hill High School
381,John Adams High School
382,"High School for Construction Trades, Engineering and Architecture"
383,Metropolitan Expeditionary Learning School
384,York Early College Academy
385,Queens Collegiate: A College Board School
386,Hillside Arts & Letters Academy
387,High School for Community Leadership
388,Jamaica Gateway to the Sciences
389,Forest Hills High School
390,Hillcrest High School
391,Thomas A. Edison Career and Technical Education High School
392,Queens Gateway to Health Sciences Secondary School
393,QUEENS METROPOLITAN HIGH SCHOOL
394,Queens High School for the Sciences at York College
395,High School for Law Enforcement and Public Safety
396,"Young Women's Leadership School, Queens"
397,Institute for Health Professions at Cambria Heights
398,Queens Preparatory Academy
399,Pathways College Preparatory School: A College Board School
400,Excelsior Preparatory High School
401,George Washington Carver High School for the Sciences
402,Preparatory Academy for Writers: A College Board School
403,Benjamin Franklin High School for Finance & Information Technology
404,Cambria Heights Academy
405,Eagle Academy for Young Men III
406,"Mathematics, Science Research and Technology Magnet High School"
407,Humanities & Arts Magnet High School
408,Energy Tech High School
409,"Young Women's Leadership School, Astoria"
410,Academy for Careers in Television and Film
411,William Cullen Bryant High School
412,Long Island City High School
413,Frank Sinatra School of the Arts High School
414,Information Technology High School
415,Newcomers High School
416,Academy of American Studies
417,Baccalaureate School for Global Education
418,CSI High School for International Studies
419,Gaynor McCown Expeditionary Learning School
420,The Michael J. Petrides School
421,New Dorp High School
